Track name, Artist name, Album, Playlist name, Type, ISRC
My Pain My Pain,Rauf & Faik,PAIN & MEMORIES,Favorite Songs,Favorite,FR10S1983614
любишь и не любишь,Rauf & Faik,PAIN & MEMORIES,Favorite Songs,Favorite,FR10S1983613
где солнца нет,Rauf & Faik,PAIN & MEMORIES,Favorite Songs,Favorite,FR10S1983612
OLA,Rauf & Faik,PAIN & MEMORIES,Favorite Songs,Favorite,FR10S1983611
Me And My Broken Heart,Rixton,Let The Road,Favorite Songs,Favorite,USUM71401800
Bella Ciao - Radio Edit,Leandro Da Silva,Bella Ciao (Radio Edit),Favorite Songs,Favorite,IT0J21800134
Who Do You Love,The Chainsmokers,World War Joy...Kills You Slowly,Favorite Songs,Favorite,USQX91803661
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown,F.A.M.E. (Expanded Edition),Favorite Songs,Favorite,USJI11100017
Payphone,Maroon 5,Overexposed Track By Track,Favorite Songs,Favorite,USUM71203347
Cherry Lady,Capital Bra,Cherry Lady,Favorite Songs,Favorite,DECE71900171
Toothbrush,DNCE,DNCE,Favorite Songs,Favorite,USUM71516725
Rooftop,Nico Santos,Streets Of Gold,Favorite Songs,Favorite,DEUM71723675
Losing My Mind,Lucidious,Losing My Mind,Favorite Songs,Favorite,QZAPG1701723
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Favorite Songs,Favorite,NLM5S1900528
Reflections,Lucidious,Reflections,Favorite Songs,Favorite,TCACK1582012
Rap God,Eminem,The Marshall Mathers LP2 (Deluxe),Favorite Songs,Favorite,USUM71314079
Wait On Me,Rixton,Let The Road,Favorite Songs,Favorite,USUM71411017
Lockdown,S.P.Y,Alone In The Dark: EP 3,Favorite Songs,Favorite,GBCJY1700226
Crush Culture,Conan Gray,Sunset Season,Favorite Songs,Favorite,USUM71816673
Flying Spaghetti Monster,Doctor P,Animal Vegetable Mineral Pt. 1,Favorite Songs,Favorite,GBUM91500066
Hold On,Chord Overstreet,Hold On,Favorite Songs,Favorite,USUM71615568
Rescue Me,OneRepublic,Rescue Me,Favorite Songs,Favorite,USUM71907507
Spotlight,Marshmello,Spotlight,Favorite Songs,Favorite,TCADL1806966
Play It Cool,Steve Aoki,Play It Cool,Favorite Songs,Favorite,USUS11900087
Throwaway (with Clairo),SG Lewis,Throwaway (with Clairo),Favorite Songs,Favorite,GBUM71900898
Wherever I Go,OneRepublic,Oh My My (Deluxe),Favorite Songs,Favorite,USUM71603851
U Got That,Halogen,U Got That,Favorite Songs,Favorite,GBSMU3984835
The Half,Ruben,The Half,Favorite Songs,Favorite,NOKAW1808020
Cradles,Sub Urban,Cradles,Favorite Songs,Favorite,GB2LD1800949
There for You,Martin Garrix,There for You,Favorite Songs,Favorite,NLM5S1600060
Look the Other Way,Nico Collins,Look the Other Way,Favorite Songs,Favorite,uscgj1886526
Amsterdam - Recorded at Spotify Studios NYC,Mandolin Orange,Spotify Singles,Favorite Songs,Favorite,USY1R1881308
Counting Stars,OneRepublic,Native,Favorite Songs,Favorite,USUM71301306
All These Things,OneRepublic,Oh My My,Favorite Songs,Favorite,USUM71608765
Everybody Hates Me,The Chainsmokers,Sick Boy,Favorite Songs,Favorite,USQX91702851
Permission,New Hope Club,Permission,Favorite Songs,Favorite,GBUM71805326
Kind Of Love,Rat City,Kind Of Love,Favorite Songs,Favorite,NOAJR1900006
We Found Love,Rihanna,Talk That Talk,Favorite Songs,Favorite,USUM71115507
If I Can't Have You,Shawn Mendes,If I Can't Have You,Favorite Songs,Favorite,USUM71907349
Rise,Jonas Blue,Blue,Favorite Songs,Favorite,GBUM71802109
Enemies,Lauv,I met you when I was 18. (the playlist),Favorite Songs,Favorite,GBKPL1809576
Suburban Girl,Lostboycrow,Santa Fe,Favorite Songs,Favorite,QM6N21805112
Little Talks,Julia Sheer,Little Talks,Favorite Songs,Favorite,TCABL1343306
Rescue Me,Marshmello,Rescue Me,Favorite Songs,Favorite,CA5KR1934552
No One Compares To You,Jack & Jack,No One Compares To You,Favorite Songs,Favorite,USUM71815776
Rain,The Script,Freedom Child,Favorite Songs,Favorite,GBARL1701268
